age,height
8.68,94.33
14.09,138.5
1.49,51.6
8.76,96.79
8.83,97.98
16.88,153.72
10.29,108.4
8.52,93.53
4.81,70.6
5.97,82.97
9.37,97.64
7.9,83.84
0.39,51.87
14.87,147.69
16.13,148.48
2.52,52.83
9.97,103.88
1.95,54.61
12.1,119.07
5.06,70.03
11.87,119.73
13.09,128.32
13.84,127.78
1.94,57.48
16.49,158.65
4.14,68.44
0.67,47.53
9.99,104.49
6.68,85.13
14.94,135.32
14.55,138.08
5.71,76.12
17.15,163.27
5.24,73.9
9.27,105.09
4.61,67.35
16.85,157.09
2.96,62.07
0.81,46.65
7.83,91.16
17.86,167.05
16.05,148.1
13.47,124.52
16.03,148.89
16.08,146.61
9.34,99.52
5.69,76.91
13.9,127.59
11.91,113.43
6.73,85.04
1.7,52.51
13.44,121.66
4.72,73.71
16.86,156.25
4.34,66.92
2.21,52.93
14.96,143.2
2.76,61.0
3.23,69.76
10.79,111.67
15.74,147.85
3.54,63.89
5.59,78.99
13.99,135.31
17.49,164.2
9.01,96.8
2.59,57.7
0.25,44.87
4.13,70.24
2.37,62.28
12.2,118.96
2.19,55.51
9.11,99.98
12.5,121.74
10.46,111.0
3.6,57.98
14.47,134.55
12.88,122.88
13.3,121.36
2.36,54.82
2.23,54.23
16.7,153.52
7.16,89.65
5.42,74.78
8.79,93.83
11.93,118.26
17.2,161.26
5.16,71.01
16.65,151.0
0.45,49.02
9.99,104.29
11.41,116.7
1.91,55.16
2.53,60.75
7.54,85.68
17.39,159.6
10.73,109.37
16.79,151.25
14.48,132.37
8.41,96.47
14.13,133.36
0.32,43.61
1.96,55.24
14.93,143.85
14.34,129.2
4.19,63.69
9.55,99.21
10.91,115.63
15.62,146.59
10.86,113.18
7.43,84.61
6.74,80.29
7.67,90.91
11.73,117.21
15.61,147.35
8.17,92.26
4.46,70.62
4.26,69.08
13.43,131.59
14.7,141.13
1.9,50.28
1.2,44.6
10.7,112.8
2.63,62.8
14.84,136.75
5.59,70.96
2.59,59.3
16.58,155.98
2.98,66.6
5.12,75.3
2.77,58.87
2.08,53.48
0.38,47.03
1.0,49.37
3.14,59.09
0.96,56.22
10.64,114.74
12.25,124.13
7.09,83.1
5.72,79.95
9.08,100.74
15.75,148.07
15.32,147.19
0.78,51.02
3.27,65.06
4.26,70.52
4.49,70.98
10.28,101.57
7.49,88.7
0.89,48.0
6.73,79.75
9.43,106.18
1.83,59.97
15.0,145.09
0.94,50.7
16.65,157.79
1.78,54.57
15.18,143.01
16.25,147.33
17.63,162.75
14.44,136.92
14.03,129.8
11.56,115.68
14.02,133.4
2.42,63.46
9.65,105.31
9.26,100.02
15.44,145.08
8.33,94.0
6.93,84.28
11.51,112.22
4.8,71.33
2.52,56.35
8.6,91.9
7.5,90.06
4.19,69.34
6.62,77.54
6.6,82.41
5.89,81.42
6.83,87.43
12.34,124.45
5.34,75.19
17.08,154.61
16.49,149.28
8.66,97.04
5.91,79.67
9.64,106.41
15.27,146.39
11.75,116.72
14.48,133.33
9.59,101.26
11.39,115.28
5.19,73.52
13.23,126.05
3.64,65.77
12.51,121.03
15.49,142.88
2.38,58.75
11.06,111.08
1.71,54.87
13.06,127.4
1.52,49.68
16.85,153.87
2.47,62.66
17.26,155.1
14.42,130.24
10.69,104.12
14.09,134.22
14.31,135.9
17.03,156.39
4.56,74.02
10.62,101.24
1.71,55.32
11.09,117.2
3.08,58.41
10.17,105.01
10.3,104.81
8.39,91.56
9.41,100.02
13.75,135.91
14.39,141.88
8.86,96.34
10.79,116.16
16.76,154.75
2.16,61.84
2.11,56.04
1.58,53.8
11.84,118.89
7.53,98.26
13.94,135.57
12.08,117.38
6.01,82.02
16.17,148.92
13.73,129.98
4.87,74.94
6.56,82.62
5.66,77.83
2.84,60.44
2.66,60.41
16.85,156.61
7.88,85.15
6.9,86.69
13.13,124.15
9.95,100.36
16.85,155.16
14.05,134.07
8.63,93.74
6.77,86.39
17.76,158.55
12.92,124.31
17.12,155.73
2.13,56.31
15.31,144.2
11.47,112.13
2.19,58.97
10.59,109.22
12.35,115.74
0.22,40.28
8.18,92.84
14.86,139.25
5.32,74.6
8.25,93.29
7.96,92.15
5.43,78.47
16.53,149.5
14.06,130.44
1.99,52.39
17.95,164.96
15.83,151.06
5.11,72.37
15.06,133.98
1.92,50.14
17.98,161.89
11.98,117.12
11.7,115.58
1.63,53.79
16.15,148.88
0.52,50.88
4.33,67.02
2.57,56.33
13.98,134.78
3.57,59.96
16.39,152.9
11.81,117.9
0.65,47.98
0.1,50.27
0.93,48.04
10.91,117.41
14.43,135.99
4.29,64.97
15.29,143.42
1.03,47.21
14.42,134.34
16.7,155.34
13.9,134.39
12.57,121.11
15.08,144.6
0.72,52.27
3.63,69.25
2.25,58.69
9.08,102.91
13.41,123.5
11.34,113.3
15.32,140.84
2.79,60.51
13.22,126.03
3.47,63.54
4.87,77.89
12.78,124.0
17.64,162.89
11.01,111.24
0.98,50.41
11.09,112.55
0.76,50.36
15.91,151.51
12.77,129.41
3.12,62.91
1.65,55.57
3.3,59.6
17.64,161.36
8.25,96.19
14.11,136.92
11.46,115.7
10.3,109.73
2.61,60.6
17.03,160.35
5.42,76.43
10.4,106.7
12.6,124.2
11.69,107.9
16.93,157.12
2.67,48.52
9.15,94.11
7.27,88.4
8.54,96.64
2.15,53.04
2.41,55.88
5.01,77.14
5.48,74.47
7.7,96.53
11.0,111.86
11.42,116.06
7.41,92.79
7.36,87.99
3.92,63.59
10.59,108.71
5.71,77.17
0.65,44.31
7.53,87.93
8.53,92.98
4.06,70.21
10.3,107.18
10.18,105.4
12.64,123.16
11.66,117.2
11.74,118.95
5.69,74.19
14.17,131.65
9.88,107.53
7.77,88.97
11.27,109.5
6.49,83.46
9.23,101.2
